date,region,retail_sales,flight_bookings,hotel_prices,festival_uplift
2020-06-10,North,1790.84,204.3,362.18,0.0
2020-06-11,North,1801.31,197.75,415.28,0.0
2020-06-12,North,1782.65,189.27,392.33,0.0
2020-06-13,North,1877.96,190.86,390.17,0.0
2020-06-14,North,1903.17,200.87,427.79,0.0
2020-06-15,North,1861.27,206.42,382.74,0.0
2020-06-16,North,1887.35,195.24,377.12,0.0
2020-06-17,North,1797.22,185.7,391.45,0.0
2020-06-18,North,1848.17,185.45,381.2,0.0
2020-06-19,North,1772.66,195.0,402.79,0.0
2020-06-20,North,1802.83,197.33,402.44,0.0
2020-06-21,North,1885.61,180.23,377.53,0.0
2020-06-22,North,1829.96,192.99,414.26,0.0
2020-06-23,North,1902.66,216.25,398.87,0.0
2020-06-24,North,1869.34,199.82,366.03,0.0
2020-06-25,North,1979.41,199.54,432.65,0.0
2020-06-26,North,1847.61,184.94,381.81,0.0
2020-06-27,North,1772.84,201.2,393.31,0.0
2020-06-28,North,1841.66,173.41,382.94,0.0
2020-06-29,North,1795.47,207.04,387.22,0.0
2020-06-30,North,1892.7,189.81,408.61,0.0
2020-07-01,North,1846.16,196.01,386.17,0.0
2020-07-02,North,1837.41,186.48,451.78,0.0
2020-07-03,North,1838.27,205.05,402.43,0.0
2020-07-04,North,1881.7,198.08,390.29,0.0
2020-07-05,North,1822.26,195.89,388.2,0.0
2020-07-06,North,1883.93,184.09,400.15,0.0
2020-07-07,North,1897.55,189.47,401.2,0.0
2020-07-08,North,1828.35,198.68,402.27,0.0
2020-07-09,North,1799.33,183.34,384.45,0.0
2020-07-10,North,1820.16,189.66,412.31,0.0
2020-07-11,North,1881.49,201.79,378.61,0.0
2020-07-12,North,1850.78,180.02,441.33,0.0
2020-07-13,North,1877.82,196.94,365.25,0.0
2020-07-14,North,1934.62,186.96,413.23,0.0
2020-07-15,North,1858.18,213.49,430.22,0.0
2020-07-16,North,1806.33,196.5,340.08,0.0
2020-07-17,North,1899.79,192.64,372.52,0.0
2020-07-18,North,1849.63,193.46,374.89,0.0
2020-07-19,North,1890.82,188.53,409.97,0.0
2020-07-20,North,1900.64,190.26,386.8,0.0
2020-07-21,North,1799.5,192.11,445.21,0.0
2020-07-22,North,1916.67,181.49,398.41,0.0
2020-07-23,North,1892.95,210.19,391.74,0.0
2020-07-24,North,1817.61,204.84,366.41,0.0
2020-07-25,North,1863.13,190.58,376.8,0.0
2020-07-26,North,1860.87,191.97,391.94,0.0
2020-07-27,North,1849.31,193.19,409.77,0.0
2020-07-28,North,1891.8,170.14,380.66,0.0
2020-07-29,North,1920.16,194.72,355.27,0.0
2020-07-30,North,1848.74,198.8,380.31,0.0
2020-07-31,North,1915.0,190.76,410.74,0.0
2020-08-01,North,1897.94,205.36,405.83,0.0
2020-08-02,North,1860.21,181.23,404.77,0.0
2020-08-03,North,1857.47,199.29,401.94,0.0
2020-08-04,North,1791.1,207.17,394.47,0.0
2020-08-05,North,1773.74,206.71,420.86,0.0
2020-08-06,North,1857.08,199.59,398.73,0.0
2020-08-07,North,1806.08,197.24,426.8,0.0
2020-08-08,North,1846.94,203.32,372.15,0.0
2020-08-09,North,1822.22,196.59,375.84,0.0
2020-08-10,North,1759.56,186.09,385.39,0.0
2020-08-11,North,1866.88,178.55,374.64,0.0
2020-08-12,North,1828.31,207.8,379.64,0.0
2020-08-13,North,1853.07,201.15,396.23,0.0
2020-08-14,North,1804.41,198.14,404.74,0.0
2020-08-15,North,1832.34,183.12,409.76,0.0
2020-08-16,North,1927.1,180.28,378.86,0.0
2020-08-17,North,1855.51,198.43,372.63,0.0
2020-08-18,North,1876.55,172.98,399.79,0.0
2020-08-19,North,1785.52,176.96,406.38,0.0
2020-08-20,North,1968.5,189.59,399.5,0.0
2020-08-21,North,1941.2,195.77,407.93,0.0
2020-08-22,North,1917.17,198.73,372.46,0.0
2020-08-23,North,1890.41,190.17,399.47,0.0
2020-08-24,North,1849.7,206.92,405.24,0.0
2020-08-25,North,1871.0,205.9,400.53,0.0
2020-08-26,North,1901.26,203.52,397.78,0.0
2020-08-27,North,1817.38,203.06,385.77,0.0
2020-08-28,North,1826.53,208.24,402.79,0.0
2020-08-29,North,1765.24,178.61,400.15,0.0
2020-08-30,North,1810.04,171.61,405.31,0.0
2020-08-31,North,1931.63,201.46,431.88,0.0
2020-09-01,North,1831.78,187.55,432.05,0.0
2020-09-02,North,1832.52,192.64,377.95,0.0
2020-09-03,North,1864.22,187.75,404.06,0.0
2020-09-04,North,1767.64,183.81,386.09,0.0
2020-09-05,North,1895.43,196.03,423.88,0.0
2020-09-06,North,1911.38,201.15,393.67,0.0
2020-09-07,North,1866.83,198.19,397.62,0.0
2020-09-08,North,1930.42,181.1,427.91,0.0
2020-09-09,North,1781.41,208.34,391.32,0.0
2020-09-10,North,1939.82,188.09,370.19,0.0
2020-09-11,North,1810.98,198.83,405.39,0.0
2020-09-12,North,1783.39,184.56,397.86,0.0
2020-09-13,North,1835.39,200.81,382.47,0.0
2020-09-14,North,1940.73,190.64,388.68,0.0
2020-09-15,North,1846.02,185.14,389.26,0.0
2020-09-16,North,1800.22,177.12,387.67,0.0
2020-09-17,North,1781.96,190.19,391.56,0.0
2020-09-18,North,1841.3,197.4,368.73,0.0
2020-09-19,North,1746.65,182.19,377.4,0.0
2020-09-20,North,1781.22,179.65,404.7,0.0
2020-09-21,North,1923.22,187.03,392.17,0.0
2020-09-22,North,1912.06,184.12,385.6,0.0
2020-09-23,North,1839.3,195.62,399.79,0.0
2020-09-24,North,1822.26,182.57,391.19,0.0
2020-09-25,North,1848.29,184.28,390.46,0.0
2020-09-26,North,1962.57,186.25,429.45,0.0
2020-09-27,North,1865.23,200.75,400.67,0.0
2020-09-28,North,1890.27,173.33,387.22,0.0
2020-09-29,North,1834.46,201.06,391.75,0.0
2020-09-30,North,1847.42,209.65,411.83,0.0
2020-10-01,North,1876.52,188.94,424.06,0.0
2020-10-02,North,1850.25,189.87,430.88,0.0
2020-10-03,North,1748.86,208.87,398.71,0.0
2020-10-04,North,1907.53,177.44,397.13,0.0
2020-10-05,North,1812.52,181.63,380.64,0.0
2020-10-06,North,1948.61,187.22,370.7,0.0
2020-10-07,North,1877.15,194.81,378.44,0.0
2020-10-08,North,1846.11,190.3,382.17,0.0
2020-10-09,North,1864.28,197.45,400.97,0.0
2020-10-10,North,1836.64,189.53,403.49,0.0
2020-10-11,North,1817.49,204.9,351.06,0.0
2020-10-12,North,1851.93,186.76,374.07,0.0
2020-10-13,North,1885.54,185.93,348.03,0.0
2020-10-14,North,1817.79,171.4,337.85,0.0
2020-10-15,North,1809.63,187.61,382.27,0.0
2020-10-16,North,1822.69,206.49,395.62,0.0
2020-10-17,North,1887.79,171.3,402.96,0.0
2020-10-18,North,1912.53,231.87,351.12,0.0
2020-10-19,North,1857.71,209.85,391.89,0.0
2020-10-20,North,1868.38,188.36,381.4,0.0
2020-10-21,North,1807.53,195.9,384.47,0.0
2020-10-22,North,1882.55,181.31,382.09,0.0
2020-10-23,North,1865.99,196.19,406.51,0.0
2020-10-24,North,1802.59,211.09,394.76,0.0
2020-10-25,North,1748.4,205.57,388.9,0.0
2020-10-26,North,1776.43,191.97,390.47,0.0
2020-10-27,North,1803.67,194.75,410.18,0.0
2020-10-28,North,1894.9,188.05,375.01,0.0
2020-10-29,North,1914.12,202.16,410.32,0.0
2020-10-30,North,1814.16,207.33,380.72,0.0
2020-10-31,North,1815.4,190.31,412.73,0.0
2020-11-01,North,1848.53,187.94,405.61,0.0
2020-11-02,North,1835.71,190.7,399.28,0.0
2020-11-03,North,1881.3,181.13,394.5,0.0
2020-11-04,North,1808.23,162.7,416.92,0.0
2020-11-05,North,1881.49,200.38,373.82,0.0
2020-11-06,North,1821.71,210.08,415.51,0.0
2020-11-07,North,1876.0,181.54,382.22,0.0
2020-11-08,North,1819.37,182.04,399.85,0.0
2020-11-09,North,1801.89,186.9,354.55,0.0
2020-11-10,North,1927.78,191.92,411.02,0.0
2020-11-11,North,2477.32,243.96,517.45,0.314
2020-11-12,North,2116.9,219.93,467.77,0.215
2020-11-13,North,2288.63,243.15,466.54,0.265
2020-11-14,North,2453.9,228.87,501.56,0.298
2020-11-15,North,2097.01,214.17,428.16,0.185
2020-11-16,North,2278.44,219.71,452.99,0.22
2020-11-17,North,2226.55,229.67,442.79,0.195
2020-11-18,North,1794.02,211.48,355.49,0.0
2020-11-19,North,1828.12,202.89,349.51,0.0
2020-11-20,North,1723.64,189.32,371.24,0.0
2020-11-21,North,1916.24,186.24,417.47,0.0
2020-11-22,North,1811.84,191.96,402.49,0.0
2020-11-23,North,1867.05,197.22,401.01,0.0
2020-11-24,North,1857.12,190.74,399.52,0.0
2020-11-25,North,1893.89,212.18,369.85,0.0
2020-11-26,North,1803.88,189.48,427.27,0.0
2020-11-27,North,1835.3,197.6,398.13,0.0
2020-11-28,North,1852.61,183.54,388.47,0.0
2020-11-29,North,1867.83,186.3,400.86,0.0
2020-11-30,North,1881.46,196.88,383.49,0.0
2020-12-01,North,1799.42,189.72,415.94,0.0
2020-12-02,North,1789.61,205.47,385.26,0.0
2020-12-03,North,1890.36,189.11,368.8,0.0
2020-12-04,North,1720.03,189.68,393.08,0.0
2020-12-05,North,1899.92,176.84,399.87,0.0
2020-12-06,North,1805.82,190.05,420.21,0.0
2020-12-07,North,1820.23,206.9,432.59,0.0
2020-12-08,North,1785.86,196.12,386.83,0.0
2020-12-09,North,1817.08,195.35,388.15,0.0
2020-12-10,North,1882.55,204.25,405.89,0.0
2020-12-11,North,1857.05,187.87,406.26,0.0
2020-12-12,North,1842.64,174.96,422.95,0.0
2020-12-13,North,1821.95,185.69,419.73,0.0
2020-12-14,North,1744.72,187.86,394.27,0.0
2020-12-15,North,1774.29,189.24,401.67,0.0
2020-12-16,North,1798.82,181.09,347.83,0.0
2020-12-17,North,1838.36,205.22,422.72,0.0
2020-12-18,North,1818.44,187.85,375.99,0.0
2020-12-19,North,1863.61,190.36,370.14,0.0
2020-12-20,North,1837.6,196.05,385.32,0.0
2020-12-21,North,1816.11,187.53,380.92,0.0
2020-12-22,North,2287.87,213.25,453.31,0.187
2020-12-23,North,2177.64,219.2,464.04,0.188
2020-12-24,North,2159.72,220.35,429.92,0.206
2020-12-25,North,2109.13,212.26,451.6,0.108
2020-12-26,North,2121.25,192.6,430.93,0.134
2020-12-27,North,2187.3,227.6,433.24,0.151
2020-12-28,North,1998.37,199.4,442.78,0.108
2020-12-29,North,1857.89,184.86,372.03,0.0
2020-12-30,North,1735.88,176.29,419.37,0.0
2020-12-31,North,1847.17,195.74,383.62,0.0
2021-01-01,North,1799.53,185.66,385.0,0.0
2021-01-02,North,1739.1,194.19,373.88,0.0
2021-01-03,North,1857.92,198.69,372.75,0.0
2021-01-04,North,1715.22,185.08,412.3,0.0
2021-01-05,North,1709.52,197.76,370.72,0.0
2021-01-06,North,1822.71,189.3,368.86,0.0
2021-01-07,North,1832.58,201.54,410.66,0.0
2021-01-08,North,1851.96,210.9,438.43,0.0
2021-01-09,North,1839.95,186.43,407.05,0.0
2021-01-10,North,1876.11,173.78,396.5,0.0
2021-01-11,North,1836.7,196.86,373.75,0.0
2021-01-12,North,1794.49,185.84,410.81,0.0
2021-01-13,North,1796.83,197.12,426.14,0.0
2021-01-14,North,1785.81,207.84,359.67,0.0
2021-01-15,North,1814.1,187.36,371.79,0.0
2021-01-16,North,1743.86,200.18,398.47,0.0
2021-01-17,North,1815.18,182.73,375.86,0.0
2021-01-18,North,1793.21,205.1,384.44,0.0
2021-01-19,North,1810.71,172.35,371.38,0.0
2021-01-20,North,1810.26,211.72,412.95,0.0
2021-01-21,North,1673.1,180.06,396.49,0.0
2021-01-22,North,1750.04,201.99,359.43,0.0
2021-01-23,North,1789.06,203.19,401.62,0.0
2021-01-24,North,1791.11,185.28,404.86,0.0
2021-01-25,North,1806.23,195.59,400.15,0.0
2021-01-26,North,1807.76,194.09,375.18,0.0
2021-01-27,North,1867.84,185.48,388.04,0.0
2021-01-28,North,1807.03,193.07,406.11,0.0
2021-01-29,North,1775.13,212.02,397.43,0.0
2021-01-30,North,1710.2,199.07,410.43,0.0
2021-01-31,North,1721.09,199.82,374.47,0.0
2021-02-01,North,1815.67,206.16,416.2,0.0
2021-02-02,North,1841.28,193.95,375.56,0.0
2021-02-03,North,1864.7,192.91,361.57,0.0
2021-02-04,North,1745.6,207.64,380.24,0.0
2021-02-05,North,1771.16,189.73,421.17,0.0
2021-02-06,North,1797.83,167.73,418.34,0.0
2021-02-07,North,1887.44,195.99,426.33,0.0
2021-02-08,North,1790.17,183.15,399.57,0.0
2021-02-09,North,1861.35,183.23,414.81,0.0
2021-02-10,North,1791.64,203.22,428.02,0.0
2021-02-11,North,1840.15,192.6,434.52,0.0
2021-02-12,North,1833.17,182.46,391.72,0.0
2021-02-13,North,1789.49,182.78,396.72,0.0
2021-02-14,North,1729.52,183.57,414.88,0.0
2021-02-15,North,1766.43,197.36,370.95,0.0
2021-02-16,North,1853.68,200.95,424.59,0.0
2021-02-17,North,1822.46,198.35,365.48,0.0
2021-02-18,North,1756.23,191.12,406.92,0.0
2021-02-19,North,1760.14,190.18,372.27,0.0
2021-02-20,North,1690.05,204.91,387.11,0.0
2021-02-21,North,1848.15,208.51,382.41,0.0
2021-02-22,North,1819.57,189.2,380.92,0.0
2021-02-23,North,1767.75,190.95,401.96,0.0
2021-02-24,North,1783.94,182.81,369.73,0.0
2021-02-25,North,1664.73,175.73,356.92,0.0
2021-02-26,North,1748.26,179.05,382.28,0.0
2021-02-27,North,1838.65,194.38,400.81,0.0
2021-02-28,North,1820.34,193.92,421.82,0.0
2021-03-01,North,1787.12,210.68,387.2,0.0
2021-03-02,North,1769.18,182.96,436.1,0.0
2021-03-03,North,1809.06,204.51,414.92,0.0
2021-03-04,North,1754.5,186.97,410.03,0.0
2021-03-05,North,1684.66,194.0,391.32,0.0
2021-03-06,North,1766.91,191.85,402.91,0.0
2021-03-07,North,1786.7,207.5,438.23,0.0
2021-03-08,North,1822.0,188.56,396.71,0.0
2021-03-09,North,1693.12,191.62,401.52,0.0
2021-03-10,North,1758.36,167.28,388.35,0.0
2021-03-11,North,1760.06,213.08,379.3,0.0
2021-03-12,North,1708.08,188.58,381.8,0.0
2021-03-13,North,1786.84,191.14,366.95,0.0
2021-03-14,North,1799.15,187.29,401.31,0.0
2021-03-15,North,1746.56,196.79,397.85,0.0
2021-03-16,North,1863.17,206.45,402.13,0.0
2021-03-17,North,1743.76,206.07,438.25,0.0
2021-03-18,North,1736.71,201.5,367.03,0.0
2021-03-19,North,1734.57,195.53,395.62,0.0
2021-03-20,North,1716.9,208.49,390.57,0.0
2021-03-21,North,1729.03,184.56,383.24,0.0
2021-03-22,North,1684.6,180.06,334.21,0.0
2021-03-23,North,1746.04,213.14,393.17,0.0
2021-03-24,North,1757.8,180.89,426.71,0.0
2021-03-25,North,1640.1,211.58,396.3,0.0
2021-03-26,North,1748.45,179.24,383.71,0.0
2021-03-27,North,1754.97,190.42,393.84,0.0
2021-03-28,North,1777.91,182.0,412.35,0.0
2021-03-29,North,1811.72,171.55,415.87,0.0
2021-03-30,North,1793.37,206.47,385.57,0.0
2021-03-31,North,1719.09,191.97,423.4,0.0
2021-04-01,North,1712.6,199.26,386.26,0.0
2021-04-02,North,1777.71,190.47,403.03,0.0
2021-04-03,North,1720.68,211.96,389.13,0.0
2021-04-04,North,1685.96,189.04,393.7,0.0
2021-04-05,North,1865.38,193.12,399.26,0.0
2021-04-06,North,1730.45,192.0,417.21,0.0
2021-04-07,North,1713.97,183.84,401.49,0.0
2021-04-08,North,1635.0,197.36,376.89,0.0
2021-04-09,North,1786.49,196.85,402.85,0.0
2021-04-10,North,1693.84,167.67,373.48,0.0
2021-04-11,North,1743.98,208.9,381.16,0.0
2021-04-12,North,1790.29,180.87,356.16,0.0
2021-04-13,North,1692.56,182.09,390.73,0.0
2021-04-14,North,1744.46,180.22,406.38,0.0
2021-04-15,North,1815.99,184.48,399.41,0.0
2021-04-16,North,1616.28,207.12,420.33,0.0
2021-04-17,North,1697.91,195.74,370.57,0.0
2021-04-18,North,1692.52,192.25,399.73,0.0
2021-04-19,North,1727.72,217.72,356.0,0.0
2021-04-20,North,1733.99,192.28,405.61,0.0
2021-04-21,North,1682.64,193.84,397.45,0.0
2021-04-22,North,1702.3,185.04,411.97,0.0
2021-04-23,North,1695.68,193.12,397.38,0.0
2021-04-24,North,1716.12,203.35,386.85,0.0
2021-04-25,North,1743.89,205.73,367.4,0.0
2021-04-26,North,1777.83,195.48,376.49,0.0
2021-04-27,North,1784.39,181.94,431.2,0.0
2021-04-28,North,1763.63,180.38,394.22,0.0
2021-04-29,North,1686.57,179.67,417.59,0.0
2021-04-30,North,1729.43,188.64,414.17,0.0
2021-05-01,North,1847.63,198.65,438.87,0.0
2021-05-02,North,1778.97,177.81,373.33,0.0
2021-05-03,North,1705.55,202.68,399.52,0.0
2021-05-04,North,1806.0,190.33,433.79,0.0
2021-05-05,North,1706.83,192.61,377.2,0.0
2021-05-06,North,1692.14,203.43,393.48,0.0
2021-05-07,North,1794.68,193.72,406.65,0.0
2021-05-08,North,1658.74,199.95,373.08,0.0
2021-05-09,North,1627.87,189.77,365.34,0.0
2021-05-10,North,2069.83,219.15,490.71,0.169
2021-05-11,North,2023.53,213.84,429.22,0.174
2021-05-12,North,2041.62,208.98,473.11,0.182
2021-05-13,North,1851.82,208.85,385.88,0.087
2021-05-14,North,2010.8,211.5,429.3,0.177
2021-05-15,North,1972.97,210.37,437.7,0.163
2021-05-16,North,1953.41,221.77,438.49,0.157
2021-05-17,North,1699.18,171.74,412.59,0.0
2021-05-18,North,1696.95,186.46,390.22,0.0
2021-05-19,North,1675.54,196.01,409.13,0.0
2021-05-20,North,1689.06,188.34,409.71,0.0
2021-05-21,North,1590.53,204.12,388.72,0.0
2021-05-22,North,1749.25,210.67,399.58,0.0
2021-05-23,North,1733.89,189.27,394.62,0.0
2021-05-24,North,1709.49,210.67,400.37,0.0
2021-05-25,North,1724.95,196.39,402.26,0.0
2021-05-26,North,1726.13,201.98,400.03,0.0
2021-05-27,North,1675.61,198.69,394.25,0.0
2021-05-28,North,1684.54,194.48,412.73,0.0
2021-05-29,North,1736.95,185.31,393.28,0.0
2021-05-30,North,1720.27,189.97,365.43,0.0
2021-05-31,North,1811.43,180.07,393.1,0.0
2021-06-01,North,1789.62,203.09,397.09,0.0
2021-06-02,North,1754.66,186.99,420.78,0.0
2021-06-03,North,1669.3,188.79,372.89,0.0
2021-06-04,North,1678.53,210.88,394.48,0.0
2021-06-05,North,1656.03,209.12,392.74,0.0
2021-06-06,North,1719.5,192.82,364.62,0.0
2021-06-07,North,1567.85,188.52,402.37,0.0
2021-06-08,North,1681.35,199.4,395.79,0.0
2021-06-09,North,1688.33,189.72,393.48,0.0
2021-06-10,North,1626.84,182.19,421.91,0.0
2021-06-11,North,1742.33,200.68,390.67,0.0
2021-06-12,North,1644.88,188.07,430.89,0.0
2021-06-13,North,1714.62,186.55,388.55,0.0
2021-06-14,North,1839.82,207.65,397.76,0.0
2021-06-15,North,1619.48,176.35,398.57,0.0
2021-06-16,North,1692.0,186.98,364.37,0.0
2021-06-17,North,1678.46,187.44,371.52,0.0
2021-06-18,North,1668.14,184.71,397.51,0.0
2021-06-19,North,1735.66,179.35,411.2,0.0
